,candidate_id,event_id,classification_type,manual_label,period,game_clock,shot_clock,player_a,player_b,notes
113,21500495-416-2,21500495-416,dribble-hand-off,TRUE,3,4:15,16.95,Kelly Olynyk,Marcus Smart,
114,21500495-420-1,21500495-420,dribble-hand-off,FALSE,3,3:34,18.48,Wayne Ellington,Willie Reed,
115,21500495-422-1,21500495-422,dribble-hand-off,FALSE,3,3:15,19.14,Evan Turner,David Lee,
116,21500495-428-2,21500495-428,dribble-hand-off,FALSE,3,3:06,20,Brook Lopez,Willie Reed,
117,21500495-428-3,21500495-428,dribble-hand-off,TRUE,3,3:04,18.69,Brook Lopez,Shane Larkin,
118,21500495-428-4,21500495-428,dribble-hand-off,FALSE,3,3:01,16.11,Shane Larkin,Bojan Bogdanovic,pass from floor
119,21500495-446-1,21500495-446,dribble-hand-off,TRUE,3,1:58,18.63,David Lee,Isaiah Thomas,
120,21500495-452-1,21500495-452,dribble-hand-off,FALSE,3,1:24,14.61,Isaiah Thomas,Marcus Smart,
121,21500495-452-2,21500495-452,dribble-hand-off,FALSE,3,1:23,13.81,Marcus Smart,Isaiah Thomas,shot attempt
122,21500495-454-1,21500495-454,dribble-hand-off,FALSE,3,1:11,17.05,Donald Sloan,Andrea Bargnani,
123,21500495-454-2,21500495-454,dribble-hand-off,TRUE,3,1:10,15.41,Andrea Bargnani,Donald Sloan,
124,21500495-455-1,21500495-455,dribble-hand-off,FALSE,3,0:59,19.56,Isaiah Thomas,Jonas Jerebko,shot attempt
125,21500495-471-1,21500495-471,dribble-hand-off,TRUE,4,11:49,14.33,Joe Johnson,Shane Larkin,
126,21500495-472-1,21500495-472,dribble-hand-off,FALSE,4,11:38,18.76,Evan Turner,Jonas Jerebko,
127,21500495-472-2,21500495-472,dribble-hand-off,FALSE,4,11:37,17.84,Jonas Jerebko,Marcus Smart,
128,21500495-479-1,21500495-479,dribble-hand-off,TRUE,4,10:38,9.81,Shane Larkin,Donald Sloan,
129,21500495-481-1,21500495-481,dribble-hand-off,FALSE,4,10:25,16.52,Evan Turner,Jonas Jerebko,pick-n-roll
130,21500495-481-2,21500495-481,dribble-hand-off,FALSE,4,10:25,16.4,Jonas Jerebko,Evan Turner,pick-n-roll
131,21500495-488-1,21500495-488,dribble-hand-off,FALSE,4,9:42,19.31,Evan Turner,Jonas Jerebko,
