,candidate_id,event_id,classification_type,classification,period,game_clock,shot_clock,player_a,player_b,
26,21500662-123-2,21500662-123,dribble-hand-off,TRUE,2,11:09,11.12,Meyers Leonard,Allen Crabbe,
27,21500662-128-1,21500662-128,dribble-hand-off,TRUE,2,10:04,14.7,Gerald Henderson,CJ McCollum,
28,21500662-131-1,21500662-131,dribble-hand-off,FALSE,2,9:34,16.24,Brandon Bass,Ryan Kelly,
29,21500662-141-1,21500662-141,dribble-hand-off,TRUE,2,9:17,17.33,Meyers Leonard,Allen Crabbe,
30,21500662-141-2,21500662-141,dribble-hand-off,FALSE,2,9:11,11.05,Gerald Henderson,Meyers Leonard,
31,21500662-146-1,21500662-146,dribble-hand-off,FALSE,2,8:51,10.17,Ryan Kelly,Lou Williams,
32,21500662-146-2,21500662-146,dribble-hand-off,FALSE,2,8:50,6.82,Lou Williams,Ryan Kelly,
33,21500662-146-3,21500662-146,dribble-hand-off,FALSE,2,8:50,6.77,Ryan Kelly,Lou Williams,
34,21500662-146-4,21500662-146,dribble-hand-off,FALSE,2,8:49,6.52,Lou Williams,Ryan Kelly,
35,21500662-155-1,21500662-155,dribble-hand-off,FALSE,2,8:35,12.34,Allen Crabbe,Meyers Leonard,
36,21500662-155-2,21500662-155,dribble-hand-off,TRUE,2,8:32,11.41,Meyers Leonard,CJ McCollum,
37,21500662-155-3,21500662-155,dribble-hand-off,FALSE,2,8:29,10.44,CJ McCollum,Ed Davis,
38,21500662-155-4,21500662-155,dribble-hand-off,FALSE,2,8:29,10.39,Ed Davis,CJ McCollum,
39,21500662-164-1,21500662-164,dribble-hand-off,TRUE,2,7:08,15.86,Ryan Kelly,Anthony Brown,
40,21500662-165-1,21500662-165,dribble-hand-off,TRUE,2,6:57,14.9,CJ McCollum,Allen Crabbe,
41,21500662-166-1,21500662-166,dribble-hand-off,FALSE,2,6:36,13.68,D'Angelo Russell,Anthony Brown,
42,21500662-176-1,21500662-176,dribble-hand-off,FALSE,2,6:13,13.43,Brandon Bass,Lou Williams,
43,21500662-176-2,21500662-176,dribble-hand-off,FALSE,2,6:09,23.85,Brandon Bass,Lou Williams,
44,21500662-177-1,21500662-177,dribble-hand-off,TRUE,2,5:54,16.99,Allen Crabbe,Damian Lillard,
45,21500662-180-1,21500662-180,dribble-hand-off,TRUE,2,5:14,8.89,Al-Farouq Aminu,Mason Plumlee,
46,21500662-185-1,21500662-185,dribble-hand-off,TRUE,2,4:43,14.79,Mason Plumlee,Damian Lillard,
47,21500662-185-2,21500662-185,dribble-hand-off,FALSE,2,4:41,13.11,Damian Lillard,Meyers Leonard,
48,21500662-185-3,21500662-185,dribble-hand-off,FALSE,2,4:41,12.91,Meyers Leonard,Al-Farouq Aminu,
49,21500662-185-4,21500662-185,dribble-hand-off,FALSE,2,4:38,9.51,Meyers Leonard,Damian Lillard,
50,21500662-207-1,21500662-207,dribble-hand-off,FALSE,2,3:05,10.54,Lou Williams,Roy Hibbert,
51,21500662-211-1,21500662-211,dribble-hand-off,FALSE,2,2:19,24,Julius Randle,Jordan Clarkson,
52,21500662-222-1,21500662-222,dribble-hand-off,TRUE,2,2:02,14.6,Julius Randle,Kobe Bryant,
53,21500662-223-1,21500662-223,dribble-hand-off,TRUE,2,1:38,9.15,Mason Plumlee,Al-Farouq Aminu,
54,21500662-233-1,21500662-233,dribble-hand-off,TRUE,2,0:51,15.62,Mason Plumlee,CJ McCollum,
55,21500662-233-2,21500662-233,dribble-hand-off,FALSE,2,0:49,13.86,CJ McCollum,Al-Farouq Aminu,
56,21500662-233-3,21500662-233,dribble-hand-off,FALSE,2,0:48,12.14,Al-Farouq Aminu,Mason Plumlee,
57,21500662-242-1,21500662-242,dribble-hand-off,TRUE,3,11:47,3.41,Mason Plumlee,Damian Lillard,
58,21500662-242-2,21500662-242,dribble-hand-off,FALSE,3,11:46,2.98,Damian Lillard,Al-Farouq Aminu,
59,21500662-244-1,21500662-244,dribble-hand-off,FALSE,3,11:23,13.02,Kobe Bryant,Jordan Clarkson,
60,21500662-247-1,21500662-247,dribble-hand-off,FALSE,3,11:11,1.43,Kobe Bryant,Lou Williams,
61,21500662-250-1,21500662-250,dribble-hand-off,TRUE,3,10:47,17.65,Jordan Clarkson,Lou Williams,
62,21500662-250-2,21500662-250,dribble-hand-off,FALSE,3,10:42,12.17,Lou Williams,Julius Randle,
63,21500662-266-1,21500662-266,dribble-hand-off,FALSE,3,9:04,17.26,Jordan Clarkson,Kobe Bryant,
64,21500662-280-1,21500662-280,dribble-hand-off,TRUE,3,8:12,7.12,Noah Vonleh,Al-Farouq Aminu,
65,21500662-280-2,21500662-280,dribble-hand-off,TRUE,3,8:10,6.68,Al-Farouq Aminu,CJ McCollum,
66,21500662-284-1,21500662-284,dribble-hand-off,FALSE,3,7:47,14.27,Al-Farouq Aminu,Mason Plumlee,
67,21500662-284-2,21500662-284,dribble-hand-off,FALSE,3,7:47,14.15,Mason Plumlee,Al-Farouq Aminu,
68,21500662-284-3,21500662-284,dribble-hand-off,TRUE,3,7:46,13.23,Al-Farouq Aminu,CJ McCollum,
69,21500662-285-1,21500662-285,dribble-hand-off,FALSE,3,7:33,16.32,Julius Randle,Kobe Bryant,
70,21500662-285-2,21500662-285,dribble-hand-off,TRUE,3,7:29,10.86,Kobe Bryant,Jordan Clarkson,
71,21500662-286-1,21500662-286,dribble-hand-off,FALSE,3,7:16,17.66,Damian Lillard,Mason Plumlee,
72,21500662-286-2,21500662-286,dribble-hand-off,TRUE,3,7:15,16.58,Mason Plumlee,Damian Lillard,
73,21500662-286-3,21500662-286,dribble-hand-off,FALSE,3,7:14,15.58,Damian Lillard,Mason Plumlee,
74,21500662-295-1,21500662-295,dribble-hand-off,TRUE,3,6:48,16.97,Damian Lillard,CJ McCollum,
75,21500662-295-2,21500662-295,dribble-hand-off,TRUE,3,6:47,15.61,CJ McCollum,Noah Vonleh,
76,21500662-295-3,21500662-295,dribble-hand-off,FALSE,3,6:46,14.97,Noah Vonleh,Damian Lillard,
77,21500662-295-4,21500662-295,dribble-hand-off,TRUE,3,6:40,5.12,Mason Plumlee,Damian Lillard,
78,21500662-295-5,21500662-295,dribble-hand-off,FALSE,3,6:35,2.81,Noah Vonleh,CJ McCollum,
79,21500662-299-1,21500662-299,dribble-hand-off,FALSE,3,6:00,11.23,Julius Randle,Jordan Clarkson,
80,21500662-300-1,21500662-300,dribble-hand-off,TRUE,3,5:44,17.34,Mason Plumlee,CJ McCollum,FAKE
81,21500662-309-1,21500662-309,dribble-hand-off,FALSE,3,5:30,7.36,Julius Randle,D'Angelo Russell,
82,21500662-314-1,21500662-314,dribble-hand-off,TRUE,3,5:12,10.12,Mason Plumlee,CJ McCollum,
83,21500662-318-1,21500662-318,dribble-hand-off,FALSE,3,4:30,13.74,Damian Lillard,CJ McCollum,
84,21500662-318-2,21500662-318,dribble-hand-off,TRUE,3,4:29,12.93,CJ McCollum,Damian Lillard,
85,21500662-318-3,21500662-318,dribble-hand-off,FALSE,3,4:28,12.28,Damian Lillard,CJ McCollum,
86,21500662-328-1,21500662-328,dribble-hand-off,TRUE,3,4:02,9.54,Meyers Leonard,Damian Lillard,
87,21500662-332-1,21500662-332,dribble-hand-off,TRUE,3,3:37,16.33,Allen Crabbe,Damian Lillard,
88,21500662-332-2,21500662-332,dribble-hand-off,FALSE,3,3:32,11.3,Damian Lillard,Meyers Leonard,
89,21500662-338-1,21500662-338,dribble-hand-off,FALSE,3,2:38,18.32,Lou Williams,Brandon Bass,
90,21500662-344-1,21500662-344,dribble-hand-off,FALSE,3,2:18,22.13,Allen Crabbe,Damian Lillard,
91,21500662-347-1,21500662-347,dribble-hand-off,TRUE,3,2:02,10.54,Brandon Bass,Lou Williams,
92,21500662-348-1,21500662-348,dribble-hand-off,FALSE,3,1:51,13.24,Ed Davis,Allen Crabbe,
93,21500662-348-2,21500662-348,dribble-hand-off,FALSE,3,1:49,12.59,Allen Crabbe,Damian Lillard,
94,21500662-348-3,21500662-348,dribble-hand-off,FALSE,3,1:47,11.5,Damian Lillard,Meyers Leonard,
95,21500662-369-1,21500662-369,dribble-hand-off,TRUE,3,0:26,22.81,Meyers Leonard,Damian Lillard,
96,21500662-387-1,21500662-387,dribble-hand-off,FALSE,4,10:53,15.03,Brandon Bass,D'Angelo Russell,
97,21500662-392-1,21500662-392,dribble-hand-off,FALSE,4,10:22,16.8,Brandon Bass,Anthony Brown,
98,21500662-397-1,21500662-397,dribble-hand-off,FALSE,4,10:06,15.42,Ed Davis,Gerald Henderson,
99,21500662-397-2,21500662-397,dribble-hand-off,FALSE,4,9:58,6.78,Ed Davis,Meyers Leonard,
100,21500662-397-3,21500662-397,dribble-hand-off,FALSE,4,9:48,21.5,Meyers Leonard,Gerald Henderson,
101,21500662-403-1,21500662-403,dribble-hand-off,FALSE,4,9:31,3.36,Brandon Bass,D'Angelo Russell,
102,21500662-408-1,21500662-408,dribble-hand-off,FALSE,4,9:08,7.62,CJ McCollum,Meyers Leonard,
103,21500662-408-2,21500662-408,dribble-hand-off,TRUE,4,9:05,4.74,Meyers Leonard,Allen Crabbe,
104,21500662-415-1,21500662-415,dribble-hand-off,TRUE,4,8:29,12.28,Meyers Leonard,CJ McCollum,
105,21500662-416-1,21500662-416,dribble-hand-off,FALSE,4,7:56,20.22,Marcelo Huertas,Anthony Brown,
106,21500662-416-2,21500662-416,dribble-hand-off,FALSE,4,7:55,19.34,Anthony Brown,Brandon Bass,
107,21500662-422-1,21500662-422,dribble-hand-off,FALSE,4,7:36,11.52,CJ McCollum,Meyers Leonard,
108,21500662-422-2,21500662-422,dribble-hand-off,FALSE,4,7:35,11.22,Meyers Leonard,Allen Crabbe,
109,21500662-428-1,21500662-428,dribble-hand-off,TRUE,4,6:57,19.61,Anthony Brown,Marcelo Huertas,
110,21500662-434-1,21500662-434,dribble-hand-off,TRUE,4,6:31,14.85,CJ McCollum,Gerald Henderson,
111,21500662-434-2,21500662-434,dribble-hand-off,FALSE,4,6:28,11.73,Ed Davis,Allen Crabbe,
112,21500662-449-1,21500662-449,dribble-hand-off,FALSE,4,4:22,7.39,Anthony Brown,Brandon Bass,
113,21500662-449-2,21500662-449,dribble-hand-off,FALSE,4,4:21,6.36,Brandon Bass,Anthony Brown,
114,21500662-452-1,21500662-452,dribble-hand-off,FALSE,4,4:04,0,Gerald Henderson,CJ McCollum,
115,21500662-452-2,21500662-452,dribble-hand-off,TRUE,4,3:54,11.26,Meyers Leonard,Gerald Henderson,
116,21500662-464-1,21500662-464,dribble-hand-off,FALSE,4,3:31,12.69,Pat Connaughton,Chris Kaman,
117,21500662-465-1,21500662-465,dribble-hand-off,FALSE,4,3:08,15.53,Marcelo Huertas,Ryan Kelly,
118,21500662-465-2,21500662-465,dribble-hand-off,FALSE,4,3:07,14.49,Ryan Kelly,Marcelo Huertas,
119,21500662-465-3,21500662-465,dribble-hand-off,FALSE,4,3:07,14.25,Marcelo Huertas,Ryan Kelly,
127,21500662-467-1,21500662-467,dribble-hand-off,FALSE,4,2:49,12.15,Tim Frazier,Noah Vonleh,
128,21500662-471-1,21500662-471,dribble-hand-off,TRUE,4,2:02,10.27,Ryan Kelly,Nick Young,
129,21500662-482-1,21500662-482,dribble-hand-off,FALSE,4,1:18,17.3,Chris Kaman,Tim Frazier,borderline
